Date,ind10,bse,int_bond,int_stock
"Nov 19, 2007",7.875,18602.62,61.688587,2593.379883
"Nov 20, 2007",7.875,18526.32,61.622276,2596.810059
"Nov 21, 2007",7.886,18852.87,61.980412,2562.149902
"Nov 22, 2007",7.884,19247.54,62.166122,2596.600098
"Nov 23, 2007",7.89,19127.73,63.393169,2540.98999
"Nov 26, 2007",7.89,18938.87,62.789558,2580.800049
"Nov 27, 2007",7.896,19003.26,62.365063,2662.909912
"Nov 28, 2007",7.922,19363.19,62.902336,2668.129883
"Nov 29, 2007",7.923,19603.41,62.597214,2660.959961
"Nov 30, 2007",7.905,19529.5,63.094025,2637.129883
"Dec 01, 2007",7.908,19738.07,63.087379,2619.830078
"Dec 03, 2007",7.881,19795.87,62.334881,2666.360107
"Dec 04, 2007",7.883,19966,61.788853,2709.030029
"Dec 05, 2007",7.869,19930.68,61.096336,2706.159912
"Dec 06, 2007",7.878,20290.89,60.730034,2718.949951
"Dec 07, 2007",7.874,20375.87,61.922016,2652.350098
"Dec 08, 2007",7.869,20104.39,61.282745,2671.139893
"Dec 10, 2007",7.877,20030.83,60.616825,2668.48999
"Dec 11, 2007",7.883,19261.35,60.33717,2635.73999
"Dec 12, 2007",7.878,19079.64,60.876575,2574.459961
"Dec 13, 2007",7.885,19091.96,61.26947,2596.030029
"Dec 14, 2007",7.9,19162.57,62.081829,2601.01001
"Dec 15, 2007",7.897,19854.12,61.948639,2640.860107
"Dec 17, 2007",7.898,20192.52,61.043056,2691.98999
"Dec 18, 2007",7.892,20216.72,60.756729,2713.5
"Dec 19, 2007",7.882,20206.95,60.223984,2724.409912
"Dec 20, 2007",7.871,20286.99,60.880512,2676.790039
"Dec 22, 2007",7.868,20300.71,61.82991,2674.459961
"Dec 24, 2007",7.864,20465.3,62.204292,2652.280029
"Dec 26, 2007",7.87,20345.2,63.10022,2609.629883
"Dec 27, 2007",7.856,20686.89,63.013241,2602.679932
"Dec 28, 2007",7.811,20812.65,63.026615,2504.649902
"Dec 29, 2007",7.81,20873.33,63.300743,2499.459961
"Dec 31, 2007",7.791,20869.78,63.227226,2440.51001
"Jan 01, 2008",7.746,20582.08,63.347576,2474.550049
"Jan 02, 2008",7.746,20827.45,62.491764,2488.52002
"Jan 03, 2008",7.755,20728.05,62.979851,2439.939941
"Jan 04, 2008",7.706,20251.09,63.21386,2478.300049
"Jan 05, 2008",7.707,19868.11,63.92252,2417.590088
"Jan 07, 2008",7.66,19700.82,63.461235,2394.590088
"Jan 08, 2008",7.673,19013.7,64.283577,2346.899902
"Jan 09, 2008",7.654,17605.35,63.842304,2340.02002
"Jan 10, 2008",7.586,16729.94,64.524208,2292.27002
"Jan 11, 2008",7.563,17594.07,64.377159,2316.409912
"Jan 12, 2008",7.563,17221.74,63.0868,2360.919922
"Jan 14, 2008",7.544,18361.66,64.149872,2326.199951
"Jan 15, 2008",7.556,18152.78,63.909149,2349.909912
"Jan 16, 2008",7.563,18091.94,63.474586,2358.060059
"Jan 17, 2008",7.554,17758.64,63.060043,2349
"Jan 18, 2008",7.551,17648.71,63.508045,2389.860107
"Jan 21, 2008",7.54,18242.58,63.88979,2413.360107
"Jan 22, 2008",7.467,18660.32,63.232273,2382.850098
"Jan 23, 2008",7.385,18663.16,63.715328,2309.570068
"Jan 24, 2008",7.379,18139.49,63.520676,2278.75
"Jan 25, 2008",7.431,17526.93,62.152115,2293.030029
"Jan 28, 2008",7.438,17464.89,62.863266,2304.850098
"Jan 29, 2008",7.542,16630.91,63.12492,2320.060059
"Jan 30, 2008",7.559,16608.01,62.749203,2320.040039
"Jan 31, 2008",7.529,16949.14,62.084995,2373.929932
"Feb 01, 2008",7.487,17766.63,61.172588,2332.540039
"Feb 02, 2008",7.496,18115.25,61.642227,2321.800049
"Feb 04, 2008",7.515,18048.05,61.018299,2306.199951
"Feb 05, 2008",7.518,18075.66,61.440964,2327.100098
"Feb 06, 2008",7.488,17617.6,62.091732,2299.780029
"Feb 07, 2008",7.473,17734.68,61.736164,2303.350098
"Feb 08, 2008",7.47,17349.07,61.105515,2327.47998
"Feb 09, 2008",7.464,17650.57,61.125645,2344.98999
"Feb 11, 2008",7.439,17806.19,61.179359,2353.780029
"Feb 12, 2008",7.453,17825.99,62.266209,2331.570068
"Feb 13, 2008",7.455,17824.48,63.218842,2271.47998
"Feb 14, 2008",7.464,17578.72,63.055912,2258.600098
"Feb 15, 2008",7.503,16677.88,62.443138,2260.280029
"Feb 16, 2008",7.512,16339.89,61.695675,2272.810059
"Feb 18, 2008",7.543,16542.08,62.025616,2220.5
"Feb 19, 2008",7.562,15975.52,62.106392,2212.48999
"Feb 20, 2008",7.645,15923.72,63.022213,2169.340088
"Feb 21, 2008",7.583,16123.15,62.483532,2255.76001
"Feb 22, 2008",7.679,16127.98,63.688892,2243.870117
"Feb 23, 2008",7.692,15357.35,63.190575,2263.610107
"Feb 25, 2008",7.64,15760.52,63.971706,2212.48999
"Feb 26, 2008",7.631,14809.49,64.463295,2177.01001
"Feb 27, 2008",7.629,14833.46,64.214119,2268.26001
"Feb 28, 2008",7.602,14994.83,65.278084,2209.959961
"Feb 29, 2008",7.568,15289.4,65.439659,2258.110107
"Mar 03, 2008",7.524,16217.49,64.173721,2326.75
"Mar 04, 2008",7.582,16086.83,64.443054,2341.050049
"Mar 05, 2008",7.551,16015.56,64.173721,2324.360107
"Mar 07, 2008",7.59,16371.29,63.722565,2280.830078
"Mar 08, 2008",7.585,15644.44,64.342087,2261.179932
"Mar 10, 2008",7.62,15626.62,64.57103,2279.100098
"Mar 11, 2008",7.604,15750.4,63.52013,2362.75
"Mar 12, 2008",7.559,15832.55,63.65538,2361.399902
"Mar 13, 2008",7.569,15343.12,63.797394,2363.300049
"Mar 14, 2008",7.63,15757.08,64.378967,2370.97998
"Mar 15, 2008",7.624,15587.62,64.040817,2364.830078
"Mar 17, 2008",7.633,15790.51,63.817684,2348.76001
"Mar 18, 2008",7.593,15695.1,64.480354,2322.120117
"Mar 19, 2008",7.621,15807.64,64.264046,2351.699951
"Mar 24, 2008",7.72,16153.66,64.696861,2290.23999
"Mar 25, 2008",7.723,16244.19,64.318108,2275.820068
"Mar 26, 2008",7.768,16481.2,63.52013,2286.040039
"Mar 27, 2008",7.773,16739.33,62.897953,2350.110107
"Mar 28, 2008",7.874,16783.87,62.789783,2341.830078
"Mar 31, 2008",7.938,16698.04,62.735691,2402.969971
"Apr 02, 2008",7.931,16721.08,62.985836,2408.040039
"Apr 03, 2008",7.887,17125.98,63.202305,2376.939941
"Apr 04, 2008",7.985,17015.96,62.992699,2405.209961
"Apr 07, 2008",7.99,17378.46,62.458397,2428.919922
"Apr 08, 2008",7.945,17287.31,62.093246,2422.929932
"Apr 09, 2008",7.925,17600.12,62.282562,2424.399902
"Apr 10, 2008",7.964,17490.9,62.519272,2426.100098
"Apr 11, 2008",8.034,17373.01,62.965595,2412.800049
"Apr 15, 2008",8.018,17339.31,62.969669,2480.709961
"Apr 16, 2008",8.08,17080.65,62.175571,2476.98999
"Apr 17, 2008",8.118,16737.07,62.175571,2464.120117
"Apr 21, 2008",8.178,16860.9,61.727661,2483.310059
"Apr 22, 2008",8.165,16752.86,61.992359,2438.48999
"Apr 23, 2008",8.186,16978.35,62.548908,2451.23999
"Apr 24, 2008",8.194,17353.54,62.779625,2445.52002
"Apr 25, 2008",8.175,17434.94,62.684601,2488.48999
"Apr 28, 2008",8.141,17230.18,61.999107,2495.120117
"Apr 29, 2008",8.004,17243.16,62.026299,2496.699951
"Apr 30, 2008",7.956,16907.11,62.589592,2533.72998
"May 02, 2008",7.903,16649.64,62.331673,2528.850098
"May 05, 2008",7.876,16348.5,62.413174,2516.090088
"May 06, 2008",7.89,16275.59,62.738892,2492.26001
"May 07, 2008",7.925,16525.37,62.752445,2448.27002
"May 08, 2008",7.944,16316.26,62.012672,2464.580078
"May 09, 2008",7.917,16415.57,62.284184,2444.669922
"May 12, 2008",7.897,16063.18,61.863422,2481.23999
"May 13, 2008",7.914,15962.56,61.313663,2486.699951
"May 14, 2008",7.938,15514.79,60.87249,2508.320068
"May 15, 2008",7.98,15769.72,61.272888,2522.659912
"May 16, 2008",8.011,15572.18,61.509281,2491.530029
"May 20, 2008",8.003,15066.1,61.952068,2480.47998
"May 21, 2008",8.058,14889.25,61.400352,2503.139893
"May 22, 2008",8.113,15185.32,61.032486,2549.939941
"May 23, 2008",8.088,15250.2,61.822598,2474.560059
"May 26, 2008",8.114,15189.62,61.822598,2459.459961
"May 27, 2008",8.119,15395.82,61.420723,2448.939941
"May 28, 2008",8.06,15696.9,61.277737,2394.01001
"May 29, 2008",8.104,15422.31,60.664616,2404.350098
"May 30, 2008",8.101,15087.99,60.535259,2454.5
"Jun 02, 2008",8.085,14571.29,60.548916,2474.780029
"Jun 03, 2008",8.127,14293.32,60.671486,2457.72998
"Jun 04, 2008",8.141,14106.58,61.182316,2429.709961
"Jun 05, 2008",8.185,14220.07,60.82132,2462.060059
"Jun 06, 2008",8.238,14421.82,61.175488,2406.090088
"Jun 09, 2008",8.287,13802.22,61.304909,2385.73999
"Jun 10, 2008",8.289,13461.6,61.71368,2368.280029
"Jun 11, 2008",8.263,12961.68,61.740921,2401.26001
"Jun 12, 2008",8.326,13664.62,62.156395,2321.370117
"Jun 13, 2008",8.393,13094.11,62.885265,2315.629883
"Jun 16, 2008",8.358,13454,62.898865,2292.97998
"Jun 17, 2008",8.335,13525.99,62.749863,2304.969971
"Jun 18, 2008",8.366,13349.65,63.077934,2251.459961
"Jun 19, 2008",8.477,13964.26,62.941235,2245.379883
"Jun 20, 2008",8.627,13926.24,63.228371,2243.320068
"Jun 23, 2008",8.632,13469.85,63.638519,2294.439941
"Jun 24, 2008",8.567,13330.51,63.918839,2234.889893
"Jun 25, 2008",8.666,12676.19,63.912029,2257.850098
"Jun 26, 2008",8.612,12575.8,63.002804,2239.080078
"Jun 27, 2008",8.615,13111.85,63.556515,2212.870117
"Jun 30, 2008",8.713,13635.4,63.535992,2215.709961
"Jul 01, 2008",8.792,13850.04,62.387535,2284.850098
"Jul 02, 2008",8.808,14104.2,62.066235,2312.300049
"Jul 03, 2008",8.84,14942.28,61.833775,2282.780029
"Jul 04, 2008",9.154,14777.01,62.073025,2279.530029
"Jul 07, 2008",9.159,14274.94,61.765446,2303.959961
"Jul 08, 2008",9.294,14349.11,61.642361,2325.879883
"Jul 09, 2008",9.319,13791.54,62.243938,2280.110107
"Jul 10, 2008",9.419,14287.21,61.621899,2310.530029
"Jul 11, 2008",9.469,14355.75,62.243938,2264.219971
"Jul 14, 2008",9.383,14656.69,61.991055,2319.620117
"Jul 15, 2008",9.478,14577.87,62.052517,2329.719971
"Jul 16, 2008",9.383,14961.07,62.667809,2325.550049
"Jul 17, 2008",9.246,15073.54,62.806438,2310.959961
"Jul 18, 2008",9.096,15117.25,62.6623,2285.560059
"Jul 21, 2008",9.052,15167.82,62.195759,2349.830078
